Priority,Source,Subsource,Supercategory,Type,Subtype,Risk assessment,Qualifier,Value,Units,Study Type,Exposure Route,Species,Critical effect,Year
4,ToxRefDB,opp_der,Point of Departure,NOAEL,-,subchronic,=,17.8,mg/kg-day,subchronic,oral,Rat,"organ weight-kidney/absolute|clinical chemistry-albumin-globulin ratio/albumin-globulin ratio|clinical chemistry-alkaline phosphatase (alp/alk)/alkaline phosphatase (alp/alk)|clinical chemistry-gamma glutamyl transferase (ggt)/gamma glutamyl transferase (ggt)|clinical chemistry-globulins/globulins|in life observation-body weight/body weight|in life observation-body weight/body weight gain|organ weight-liver/relative to body weight|clinical chemistry-calcium/calcium|clinical chemistry-protein/protein|clinical chemistry-urea nitrogen/urea|in life observation-clinical signs/hypotonia|in life observation-clinical signs/piloerection|organ weight-liver/absolute|organ weight-spleen/absolute|organ weight-spleen/relative to body weight|urinalysis-protein/protein|urinalysis-bilirubin/total bilirubin|clinical chemistry-bilirubin/total bilirubin|hematology-blood clotting/blood clotting - prothrombin time|hematology-erythrocyte (rbc) count differential/erythrocyte (rbc)|hematology-hematocrit (hct)/hematocrit (hct)|hematology-hemoglobin (hgb)/hemoglobin (hgb)|in life observation-clinical signs/grip strength|in life observation-clinical signs/splayed hindlimbs|in life observation-mortality/mortality|organ weight-epididymis/absolute|organ weight-testes/absolute|organ weight-thyroid gland/relative to body weight|pathology gross-prostate/reduced size|pathology gross-seminal vesicle/reduced size|pathology microscopic-epididymis/[other]|pathology microscopic-pancreas/vacuolization cytoplasmic|pathology microscopic-prostate/secretory fluid|pathology microscopic-seminal vesicle/secretory fluid|pathology microscopic-testes/atrophy|pathology microscopic-testes/reduced spermatogenesis|pathology gross-testes/reduced size|pathology gross-epididymis/reduced size",2002
4,ToxRefDB,opp_der,Point of Departure,LEL,-,subchronic,=,616,mg/kg-day,subchronic,oral,Rat,"organ weight-liver/absolute|hematology-leukocyte (wbc) count differential/leukocyte (wbc)",2002
4,ToxRefDB,opp_der,Point of Departure,LOAEL,-,subchronic,>,616,mg/kg-day,subchronic,oral,Rat,"organ weight-liver/absolute|organ weight-spleen/absolute|organ weight-spleen/relative to body weight|clinical chemistry-albumin-globulin ratio/albumin-globulin ratio|clinical chemistry-alkaline phosphatase (alp/alk)/alkaline phosphatase (alp/alk)|clinical chemistry-gamma glutamyl transferase (ggt)/gamma glutamyl transferase (ggt)|clinical chemistry-globulins/globulins|clinical chemistry-albumin/albumin|clinical chemistry-calcium/calcium|clinical chemistry-creatinine/creatinine|clinical chemistry-glutamate dehydrogenase/glutamate dehydrogenase|clinical chemistry-potassium/potassium|clinical chemistry-protein/protein|clinical chemistry-urea nitrogen/urea|hematology-leukocyte (wbc) count differential/leukocyte (wbc)|urinalysis-ph/ph|urinalysis-protein/protein|urinalysis-bilirubin/total bilirubin",2002
4,ToxRefDB,opp_der,Point of Departure,NEL,-,subchronic,=,140,mg/kg-day,subchronic,oral,Rat,"organ weight-liver/absolute|hematology-leukocyte (wbc) count differential/leukocyte (wbc)",2002
4,ToxRefDB,opp_der,Point of Departure,NOAEL,-,subchronic,>=,616,mg/kg-day,subchronic,oral,Rat,"organ weight-liver/absolute|organ weight-spleen/absolute|organ weight-spleen/relative to body weight|clinical chemistry-albumin-globulin ratio/albumin-globulin ratio|clinical chemistry-alkaline phosphatase (alp/alk)/alkaline phosphatase (alp/alk)|clinical chemistry-gamma glutamyl transferase (ggt)/gamma glutamyl transferase (ggt)|clinical chemistry-globulins/globulins|clinical chemistry-albumin/albumin|clinical chemistry-calcium/calcium|clinical chemistry-creatinine/creatinine|clinical chemistry-glutamate dehydrogenase/glutamate dehydrogenase|clinical chemistry-potassium/potassium|clinical chemistry-protein/protein|clinical chemistry-urea nitrogen/urea|hematology-leukocyte (wbc) count differential/leukocyte (wbc)|urinalysis-ph/ph|urinalysis-protein/protein|urinalysis-bilirubin/total bilirubin",2002
4,ToxRefDB,opp_der,Point of Departure,LEL,-,subchronic,=,22.1,mg/kg-day,subchronic,oral,Rat,organ weight-spleen/relative to body weight,2002
4,ToxRefDB,opp_der,Point of Departure,NEL,-,subchronic,=,3.52,mg/kg-day,subchronic,oral,Rat,"organ weight-spleen/absolute|organ weight-spleen/relative to body weight",2002
4,ToxRefDB,opp_der,Point of Departure,LEL,-,subchronic,=,3.52,mg/kg-day,subchronic,oral,Rat,clinical chemistry-calcium/calcium,2002
4,ToxRefDB,opp_der,Point of Departure,LOAEL,-,subchronic,=,140,mg/kg-day,subchronic,oral,Rat,in life observation-body weight/body weight gain,2002
4,ToxRefDB,opp_der,Point of Departure,NEL,-,subchronic,<,3.52,mg/kg-day,subchronic,oral,Rat,clinical chemistry-calcium/calcium,2002
4,ToxRefDB,opp_der,Point of Departure,NOAEL,-,subchronic,=,22.1,mg/kg-day,subchronic,oral,Rat,"clinical chemistry-albumin-globulin ratio/albumin-globulin ratio|clinical chemistry-alkaline phosphatase (alp/alk)/alkaline phosphatase (alp/alk)|clinical chemistry-gamma glutamyl transferase (ggt)/gamma glutamyl transferase (ggt)|clinical chemistry-globulins/globulins|hematology-leukocyte (wbc) count differential/leukocyte (wbc)|in life observation-body weight/body weight|in life observation-body weight/body weight gain|clinical chemistry-albumin/albumin|clinical chemistry-calcium/calcium|clinical chemistry-creatinine/creatinine|clinical chemistry-glutamate dehydrogenase/glutamate dehydrogenase|clinical chemistry-potassium/potassium|clinical chemistry-protein/protein|clinical chemistry-urea nitrogen/urea|in life observation-clinical signs/hunched posture|in life observation-clinical signs/hypotonia|in life observation-clinical signs/piloerection|in life observation-clinical signs/vaginal discharge|organ weight-liver/absolute|organ weight-spleen/absolute|organ weight-spleen/relative to body weight|urinalysis-ph/ph|urinalysis-protein/protein|urinalysis-bilirubin/total bilirubin",2002
4,ToxRefDB,opp_der,Point of Departure,LEL,-,subchronic,=,140,mg/kg-day,subchronic,oral,Rat,"in life observation-body weight/body weight gain|urinalysis-bilirubin/total bilirubin",2002
4,ToxRefDB,opp_der,Point of Departure,NEL,-,subchronic,=,22.1,mg/kg-day,subchronic,oral,Rat,"in life observation-body weight/body weight|in life observation-body weight/body weight gain|in life observation-clinical signs/hunched posture|in life observation-clinical signs/hypotonia|in life observation-clinical signs/piloerection|in life observation-clinical signs/vaginal discharge|urinalysis-ph/ph|urinalysis-protein/protein|urinalysis-bilirubin/total bilirubin",2002
4,ToxRefDB,opp_der,Point of Departure,LEL,-,subchronic,=,349,mg/kg-day,subchronic,oral,Mouse,"pathology microscopic-liver/depletion glycogen|organ weight-spleen/absolute|organ weight-spleen/relative to body weight",1991
4,ToxRefDB,opp_der,Point of Departure,LEL,-,subchronic,=,257,mg/kg-day,subchronic,oral,Mouse,pathology microscopic-liver/necrosis,1991
4,ToxRefDB,opp_der,Point of Departure,LOAEL,-,subchronic,=,349,mg/kg-day,subchronic,oral,Mouse,pathology microscopic-liver/depletion glycogen,1991
4,ToxRefDB,opp_der,Point of Departure,LOAEL,-,subchronic,=,257,mg/kg-day,subchronic,oral,Mouse,pathology microscopic-liver/necrosis,1991
4,ToxRefDB,opp_der,Point of Departure,NEL,-,subchronic,=,103,mg/kg-day,subchronic,oral,Mouse,"pathology microscopic-liver/depletion glycogen|organ weight-spleen/absolute|organ weight-spleen/relative to body weight",1991
4,ToxRefDB,opp_der,Point of Departure,NEL,-,subchronic,=,73.3,mg/kg-day,subchronic,oral,Mouse,"organ weight-liver/absolute|organ weight-liver/relative to body weight|organ weight-liver/relative to brain weight|pathology microscopic-liver/necrosis|hematology-leukocyte (wbc) count differential/leukocyte (wbc)",1991
4,ToxRefDB,opp_der,Point of Departure,NOAEL,-,subchronic,=,103,mg/kg-day,subchronic,oral,Mouse,"pathology microscopic-liver/depletion glycogen|organ weight-spleen/absolute|organ weight-spleen/relative to body weight",1991
4,ToxRefDB,opp_der,Point of Departure,NOAEL,-,subchronic,=,73.3,mg/kg-day,subchronic,oral,Mouse,"organ weight-liver/absolute|organ weight-liver/relative to body weight|organ weight-liver/relative to brain weight|pathology microscopic-liver/necrosis|hematology-leukocyte (wbc) count differential/leukocyte (wbc)",1991
4,ToxRefDB,opp_der,Point of Departure,LOAEL,-,subchronic,>,1121,mg/kg-day,subchronic,oral,Mouse,"organ weight-spleen/absolute|organ weight-spleen/relative to body weight",1991
4,ToxRefDB,opp_der,Point of Departure,NOAEL,-,subchronic,>=,1121,mg/kg-day,subchronic,oral,Mouse,"organ weight-spleen/absolute|organ weight-spleen/relative to body weight",1991
4,ToxRefDB,opp_der,Point of Departure,LEL,-,subchronic,=,849,mg/kg-day,subchronic,oral,Mouse,hematology-leukocyte (wbc) count differential/leukocyte (wbc),1991
4,ToxRefDB,opp_der,Point of Departure,LOAEL,-,subchronic,>,849,mg/kg-day,subchronic,oral,Mouse,hematology-leukocyte (wbc) count differential/leukocyte (wbc),1991
4,ToxRefDB,opp_der,Point of Departure,NEL,-,subchronic,=,257,mg/kg-day,subchronic,oral,Mouse,hematology-leukocyte (wbc) count differential/leukocyte (wbc),1991
4,ToxRefDB,opp_der,Point of Departure,NOAEL,-,subchronic,>=,849,mg/kg-day,subchronic,oral,Mouse,hematology-leukocyte (wbc) count differential/leukocyte (wbc),1991
4,ToxRefDB,opp_der,Point of Departure,LEL,-,subchronic,=,803,mg/kg-day,subchronic,oral,Rat,"organ weight-adrenal gland/absolute|organ weight-heart/absolute|organ weight-ovary/absolute|in life observation-body weight/body weight|in life observation-body weight/body weight gain|organ weight-thyroid gland/relative to body weight",1991
4,ToxRefDB,opp_der,Point of Departure,LEL,-,subchronic,=,809.7,mg/kg-day,subchronic,oral,Rat,"organ weight-adrenal gland/relative to body weight|pathology microscopic-adrenal gland/fatty change|in life observation-body weight/body weight|in life observation-body weight/body weight gain",1991
4,ToxRefDB,opp_der,Point of Departure,LOAEL,-,subchronic,>,803,mg/kg-day,subchronic,oral,Rat,"organ weight-adrenal gland/absolute|organ weight-heart/absolute|organ weight-kidney/absolute|pathology microscopic-kidney/lesion(s) (nos)|organ weight-liver/relative to body weight|pathology microscopic-liver/cytoplasmic alteration|pathology microscopic-liver/focal cellular change|pathology microscopic-liver/hypertrophy|pathology microscopic-liver/necrosis|pathology microscopic-liver/vacuolization cytoplasmic|organ weight-ovary/absolute|pathology microscopic-pituitary gland/hypertrophy|clinical chemistry-alkaline phosphatase (alp/alk)/alkaline phosphatase (alp/alk)|clinical chemistry-cholesterol/cholesterol|clinical chemistry-gamma glutamyl transpeptides (gtp)/gamma glutamyl transpeptides (gtp)|clinical chemistry-lipids/phospholipids|hematology-blood clotting/blood clotting - prothrombin time|hematology-leukocyte (wbc) count differential/leukocyte (wbc)|hematology-lymphocyte/lymphocyte|hematology-neutrophils/neutrophils|in life observation-body weight/body weight|in life observation-body weight/body weight gain|organ weight-thyroid gland/relative to body weight",1991
4,ToxRefDB,opp_der,Point of Departure,LOAEL,-,subchronic,>,809.7,mg/kg-day,subchronic,oral,Rat,"organ weight-adrenal gland/relative to body weight|pathology microscopic-adrenal gland/fatty change|organ weight-liver/relative to body weight|pathology microscopic-liver/cytoplasmic alteration|pathology microscopic-liver/focal cellular change|pathology microscopic-liver/hypertrophy|pathology microscopic-liver/necrosis|pathology microscopic-liver/vacuolization cytoplasmic|pathology microscopic-pituitary gland/hypertrophy|clinical chemistry-albumin/albumin|clinical chemistry-alkaline phosphatase (alp/alk)/alkaline phosphatase (alp/alk)|clinical chemistry-cholesterol/cholesterol|clinical chemistry-gamma glutamyl transpeptides (gtp)/gamma glutamyl transpeptides (gtp)|clinical chemistry-globulins/globulins|clinical chemistry-glucose/glucose|clinical chemistry-lipids/phospholipids|clinical chemistry-protein/protein|hematology-blood clotting/blood clotting - prothrombin time|hematology-eosinophils/eosinophils|hematology-hematocrit (hct)/hematocrit (hct)|hematology-hemoglobin (hgb)/hemoglobin (hgb)|hematology-leukocyte (wbc) count differential/leukocyte (wbc)|hematology-lymphocyte/lymphocyte|hematology-neutrophils/neutrophils|in life observation-body weight/body weight|in life observation-body weight/body weight gain|organ weight-thyroid gland/relative to body weight|pathology microscopic-thyroid gland/hypertrophy",1991
4,ToxRefDB,opp_der,Point of Departure,NEL,-,subchronic,=,136.6,mg/kg-day,subchronic,oral,Rat,"organ weight-adrenal gland/absolute|organ weight-heart/absolute|organ weight-ovary/absolute|in life observation-body weight/body weight|in life observation-body weight/body weight gain|organ weight-thyroid gland/relative to body weight",1991
4,ToxRefDB,opp_der,Point of Departure,NEL,-,subchronic,=,133.6,mg/kg-day,subchronic,oral,Rat,"organ weight-adrenal gland/relative to body weight|pathology microscopic-adrenal gland/fatty change|in life observation-body weight/body weight|in life observation-body weight/body weight gain",1991
4,ToxRefDB,opp_der,Point of Departure,NOAEL,-,subchronic,>=,803,mg/kg-day,subchronic,oral,Rat,"organ weight-adrenal gland/absolute|organ weight-heart/absolute|organ weight-kidney/absolute|pathology microscopic-kidney/lesion(s) (nos)|organ weight-liver/relative to body weight|pathology microscopic-liver/cytoplasmic alteration|pathology microscopic-liver/focal cellular change|pathology microscopic-liver/hypertrophy|pathology microscopic-liver/necrosis|pathology microscopic-liver/vacuolization cytoplasmic|organ weight-ovary/absolute|pathology microscopic-pituitary gland/hypertrophy|clinical chemistry-alkaline phosphatase (alp/alk)/alkaline phosphatase (alp/alk)|clinical chemistry-cholesterol/cholesterol|clinical chemistry-gamma glutamyl transpeptides (gtp)/gamma glutamyl transpeptides (gtp)|clinical chemistry-lipids/phospholipids|hematology-blood clotting/blood clotting - prothrombin time|hematology-leukocyte (wbc) count differential/leukocyte (wbc)|hematology-lymphocyte/lymphocyte|hematology-neutrophils/neutrophils|in life observation-body weight/body weight|in life observation-body weight/body weight gain|organ weight-thyroid gland/relative to body weight",1991
4,ToxRefDB,opp_der,Point of Departure,NOAEL,-,subchronic,>=,809.7,mg/kg-day,subchronic,oral,Rat,"organ weight-adrenal gland/relative to body weight|pathology microscopic-adrenal gland/fatty change|organ weight-liver/relative to body weight|pathology microscopic-liver/cytoplasmic alteration|pathology microscopic-liver/focal cellular change|pathology microscopic-liver/hypertrophy|pathology microscopic-liver/necrosis|pathology microscopic-liver/vacuolization cytoplasmic|pathology microscopic-pituitary gland/hypertrophy|clinical chemistry-albumin/albumin|clinical chemistry-alkaline phosphatase (alp/alk)/alkaline phosphatase (alp/alk)|clinical chemistry-cholesterol/cholesterol|clinical chemistry-gamma glutamyl transpeptides (gtp)/gamma glutamyl transpeptides (gtp)|clinical chemistry-globulins/globulins|clinical chemistry-glucose/glucose|clinical chemistry-lipids/phospholipids|clinical chemistry-protein/protein|hematology-blood clotting/blood clotting - prothrombin time|hematology-eosinophils/eosinophils|hematology-hematocrit (hct)/hematocrit (hct)|hematology-hemoglobin (hgb)/hemoglobin (hgb)|hematology-leukocyte (wbc) count differential/leukocyte (wbc)|hematology-lymphocyte/lymphocyte|hematology-neutrophils/neutrophils|in life observation-body weight/body weight|in life observation-body weight/body weight gain|organ weight-thyroid gland/relative to body weight|pathology microscopic-thyroid gland/hypertrophy",1991
4,ToxRefDB,opp_der,Point of Departure,LEL,-,subchronic,=,136.6,mg/kg-day,subchronic,oral,Rat,"pathology microscopic-kidney/lesion(s) (nos)|organ weight-liver/relative to body weight|pathology microscopic-liver/cytoplasmic alteration|pathology microscopic-liver/focal cellular change|pathology microscopic-liver/hypertrophy|pathology microscopic-liver/necrosis|pathology microscopic-liver/vacuolization cytoplasmic|pathology microscopic-pituitary gland/hypertrophy",1991
4,ToxRefDB,opp_der,Point of Departure,LEL,-,subchronic,=,18.95,mg/kg-day,subchronic,oral,Rat,"pathology microscopic-kidney/lesion(s) (nos)|pathology microscopic-kidney/nephrocalcinosis|pathology microscopic-kidney/vacuolization|pathology microscopic-liver/focal cellular change|pathology microscopic-liver/hypertrophy|pathology microscopic-liver/necrosis|pathology microscopic-pituitary gland/hypertrophy|clinical chemistry-alkaline phosphatase (alp/alk)/alkaline phosphatase (alp/alk)|hematology-blood clotting/blood clotting - prothrombin time|pathology microscopic-thyroid gland/hypertrophy",1991
4,ToxRefDB,opp_der,Point of Departure,LOAEL,-,subchronic,>,803,mg/kg-day,subchronic,oral,Rat,"pathology microscopic-kidney/lesion(s) (nos)|clinical chemistry-cholesterol/cholesterol|clinical chemistry-lipids/phospholipids",1991
4,ToxRefDB,opp_der,Point of Departure,LOAEL,-,subchronic,=,18.95,mg/kg-day,subchronic,oral,Rat,pathology microscopic-kidney/lesion(s) (nos),1991
4,ToxRefDB,opp_der,Point of Departure,NEL,-,subchronic,=,19.32,mg/kg-day,subchronic,oral,Rat,"organ weight-kidney/absolute|pathology microscopic-kidney/lesion(s) (nos)|organ weight-liver/relative to body weight|pathology microscopic-liver/cytoplasmic alteration|pathology microscopic-liver/focal cellular change|pathology microscopic-liver/hypertrophy|pathology microscopic-liver/necrosis|pathology microscopic-liver/vacuolization cytoplasmic|pathology microscopic-pituitary gland/hypertrophy",1991
4,ToxRefDB,opp_der,Point of Departure,NEL,-,subchronic,=,3.14,mg/kg-day,subchronic,oral,Rat,"organ weight-kidney/relative to body weight|pathology microscopic-kidney/lesion(s) (nos)|pathology microscopic-kidney/nephrocalcinosis|pathology microscopic-kidney/vacuolization|organ weight-liver/relative to body weight|pathology microscopic-liver/cytoplasmic alteration|pathology microscopic-liver/focal cellular change|pathology microscopic-liver/hypertrophy|pathology microscopic-liver/necrosis|pathology microscopic-liver/vacuolization cytoplasmic|pathology microscopic-pituitary gland/hypertrophy|clinical chemistry-albumin/albumin|clinical chemistry-alkaline phosphatase (alp/alk)/alkaline phosphatase (alp/alk)|clinical chemistry-cholesterol/cholesterol|clinical chemistry-gamma glutamyl transpeptides (gtp)/gamma glutamyl transpeptides (gtp)|clinical chemistry-globulins/globulins|clinical chemistry-glucose/glucose|clinical chemistry-lipids/phospholipids|clinical chemistry-protein/protein|hematology-blood clotting/blood clotting - prothrombin time|hematology-eosinophils/eosinophils|hematology-hematocrit (hct)/hematocrit (hct)|hematology-hemoglobin (hgb)/hemoglobin (hgb)|hematology-leukocyte (wbc) count differential/leukocyte (wbc)|hematology-lymphocyte/lymphocyte|hematology-neutrophils/neutrophils|in life observation-body weight/body weight|in life observation-body weight/body weight gain|organ weight-adrenal gland/relative to body weight|organ weight-thyroid gland/relative to body weight|pathology microscopic-adrenal gland/fatty change|pathology microscopic-thyroid gland/hypertrophy",1991
4,ToxRefDB,opp_der,Point of Departure,NOAEL,-,subchronic,>=,803,mg/kg-day,subchronic,oral,Rat,"pathology microscopic-kidney/lesion(s) (nos)|clinical chemistry-cholesterol/cholesterol|clinical chemistry-lipids/phospholipids",1991
4,ToxRefDB,opp_der,Point of Departure,NOAEL,-,subchronic,=,3.14,mg/kg-day,subchronic,oral,Rat,"organ weight-kidney/relative to body weight|pathology microscopic-kidney/lesion(s) (nos)|pathology microscopic-kidney/nephrocalcinosis|pathology microscopic-kidney/vacuolization|clinical chemistry-albumin/albumin|clinical chemistry-alkaline phosphatase (alp/alk)/alkaline phosphatase (alp/alk)|clinical chemistry-cholesterol/cholesterol|clinical chemistry-gamma glutamyl transpeptides (gtp)/gamma glutamyl transpeptides (gtp)|clinical chemistry-globulins/globulins|clinical chemistry-glucose/glucose|clinical chemistry-lipids/phospholipids|clinical chemistry-protein/protein|hematology-blood clotting/blood clotting - prothrombin time|hematology-eosinophils/eosinophils|hematology-hematocrit (hct)/hematocrit (hct)|hematology-hemoglobin (hgb)/hemoglobin (hgb)|hematology-leukocyte (wbc) count differential/leukocyte (wbc)|hematology-lymphocyte/lymphocyte|hematology-neutrophils/neutrophils|in life observation-body weight/body weight|in life observation-body weight/body weight gain|organ weight-adrenal gland/relative to body weight|organ weight-liver/relative to body weight|organ weight-thyroid gland/relative to body weight|pathology microscopic-adrenal gland/fatty change|pathology microscopic-liver/cytoplasmic alteration|pathology microscopic-liver/focal cellular change|pathology microscopic-liver/hypertrophy|pathology microscopic-liver/necrosis|pathology microscopic-liver/vacuolization cytoplasmic|pathology microscopic-pituitary gland/hypertrophy|pathology microscopic-thyroid gland/hypertrophy",1991
4,ToxRefDB,opp_der,Point of Departure,LOAEL,-,subchronic,>,809.7,mg/kg-day,subchronic,oral,Rat,"organ weight-liver/relative to body weight|clinical chemistry-alkaline phosphatase (alp/alk)/alkaline phosphatase (alp/alk)|organ weight-thyroid gland/relative to body weight",1991
4,ToxRefDB,opp_der,Point of Departure,NOAEL,-,subchronic,>=,809.7,mg/kg-day,subchronic,oral,Rat,"organ weight-liver/relative to body weight|clinical chemistry-alkaline phosphatase (alp/alk)/alkaline phosphatase (alp/alk)|organ weight-thyroid gland/relative to body weight",1991
