Priority,Source,Subsource,Supercategory,Type,Subtype,Risk assessment,Qualifier,Value,Units,Study Type,Exposure Route,Species,Critical effect,Year
4,ToxRefDB,opp_der,Point of Departure,NEL,-,chronic,=,17.7,mg/kg-day,chronic,oral,Mouse,"pathology microscopic-intestine small/neoplasm nos|pathology gross-intestine small/[other]|pathology gross-intestine small/foci|pathology gross-intestine small/mass|pathology microscopic-intestine small/hyperplasia|pathology microscopic-stomach/neoplasm nos|in life observation-clinical signs/alopecia|in life observation-body weight/body weight",1983
4,ToxRefDB,opp_der,Point of Departure,NEL,-,chronic,=,15.1,mg/kg-day,chronic,oral,Mouse,"pathology microscopic-intestine small/neoplasm nos|pathology microscopic-intestine small/hyperplasia|pathology microscopic-stomach/neoplasm nos|in life observation-body weight/body weight|in life observation-clinical signs/alopecia|in life observation-food consumption/food consumption",1983
4,ToxRefDB,opp_der,Point of Departure,NOAEL,-,chronic,>=,1042.7,mg/kg-day,chronic,oral,Mouse,"pathology microscopic-intestine small/neoplasm nos|pathology gross-intestine small/[other]|pathology gross-intestine small/foci|pathology gross-intestine small/mass|pathology microscopic-intestine small/hyperplasia|pathology microscopic-stomach/neoplasm nos",1983
4,ToxRefDB,opp_der,Point of Departure,NOAEL,-,chronic,>=,924.8,mg/kg-day,chronic,oral,Mouse,"pathology microscopic-intestine small/neoplasm nos|pathology microscopic-intestine small/hyperplasia|pathology microscopic-stomach/neoplasm nos",1983
4,ToxRefDB,opp_der,Point of Departure,LOAEL,-,chronic,=,1042.7,mg/kg-day,chronic,oral,Mouse,in life observation-body weight/body weight,1983
4,ToxRefDB,opp_der,Point of Departure,LOAEL,-,chronic,=,924.8,mg/kg-day,chronic,oral,Mouse,"in life observation-body weight/body weight|in life observation-food consumption/food consumption",1983
4,ToxRefDB,opp_der,Point of Departure,NOAEL,-,chronic,=,141.9,mg/kg-day,chronic,oral,Mouse,"pathology microscopic-intestine small/neoplasm nos|pathology microscopic-stomach/neoplasm nos|in life observation-clinical signs/alopecia|pathology gross-intestine small/[other]|pathology gross-intestine small/foci|pathology gross-intestine small/mass|pathology microscopic-intestine small/hyperplasia|in life observation-body weight/body weight",1983
4,ToxRefDB,opp_der,Point of Departure,NOAEL,-,chronic,=,122.8,mg/kg-day,chronic,oral,Mouse,"pathology microscopic-intestine small/neoplasm nos|pathology microscopic-stomach/neoplasm nos|in life observation-body weight/body weight|in life observation-clinical signs/alopecia|in life observation-food consumption/food consumption|pathology microscopic-intestine small/hyperplasia",1983
4,ToxRefDB,opp_der,Point of Departure,LEL,-,chronic,=,1042.7,mg/kg-day,chronic,oral,Mouse,"in life observation-clinical signs/alopecia|in life observation-body weight/body weight",1983
4,ToxRefDB,opp_der,Point of Departure,LEL,-,chronic,=,924.8,mg/kg-day,chronic,oral,Mouse,"in life observation-body weight/body weight|in life observation-clinical signs/alopecia|in life observation-food consumption/food consumption",1983
4,ToxRefDB,opp_der,Point of Departure,NEL,-,chronic,=,141.9,mg/kg-day,chronic,oral,Mouse,"in life observation-clinical signs/alopecia|in life observation-body weight/body weight",1983
4,ToxRefDB,opp_der,Point of Departure,NEL,-,chronic,=,122.8,mg/kg-day,chronic,oral,Mouse,"in life observation-body weight/body weight|in life observation-clinical signs/alopecia|in life observation-food consumption/food consumption",1983
5,ECHA IUCLID,Repeated Dose Toxicity Oral,Point of Departure,NOAEL,-,chronic,=,300,mg/kg-day,chronic,oral,Dog,-,-
5,ECHA IUCLID,Repeated Dose Toxicity Oral,Point of Departure,NOAEL,-,chronic,=,300,mg/kg-day,chronic,oral,Dog,-,-
5,ECHA IUCLID,Repeated Dose Toxicity Dermal,Point of Departure,NOEL,-,short-term,=,110,mg/kg,short-term,dermal,Rabbit,-,-
5,ECHA IUCLID,Repeated Dose Toxicity Dermal,Point of Departure,NOEL,-,short-term,=,12.5,mg/kg-day,short-term,dermal,Rabbit,-,-
5,ECHA IUCLID,Repeated Dose Toxicity Dermal,Point of Departure,NOEL,-,short-term,=,110,mg/kg,short-term,dermal,Rabbit,-,-
5,ECHA IUCLID,Repeated Dose Toxicity Dermal,Point of Departure,NOEL,-,short-term,=,12.5,mg/kg-day,short-term,dermal,Rabbit,-,-
5,ECHA IUCLID,Repeated Dose Toxicity Inhalation,Point of Departure,NOEC,-,subchronic,=,0.6,mg/m3,subchronic,inhalation,Rat,-,-
5,ECHA IUCLID,Repeated Dose Toxicity Inhalation,Point of Departure,NOEC,-,subchronic,=,0.6,mg/m3,subchronic,inhalation,Rat,-,-
5,ECHA IUCLID,Developmental Toxicity Teratogenicity,Point of Departure,NOEL,-,developmental,=,10,mg/kg-day,developmental,-,Rabbit,-,-
5,ECHA IUCLID,Developmental Toxicity Teratogenicity,Point of Departure,NOEL,-,developmental,=,10,mg/kg-day,developmental,-,Rabbit,mortality,-
5,ECHA IUCLID,Developmental Toxicity Teratogenicity,Point of Departure,NOEL,-,developmental,=,10,mg/kg-day,developmental,-,Rabbit,-,-
5,ECHA IUCLID,Developmental Toxicity Teratogenicity,Point of Departure,NOEL,-,developmental,=,10,mg/kg-day,developmental,-,Rabbit,-,-
5,EFSA,EFSA PPR,Point of Departure,NOAEL,-,reproduction,=,20,mg/kg-day,reproduction,-,Rabbit,development,2020
5,EFSA,EFSA,Point of Departure,NOAEL,-,reproduction,=,10,mg/kg-day,reproduction,-,Rat,development,2009
5,EFSA,EFSA,Point of Departure,NOAEL,-,reproduction,=,30,mg/kg-day,reproduction,-,Rabbit,development,2009
5,EFSA,EFSA PPR,Point of Departure,NOAEL,-,chronic,=,25,mg/kg-day,chronic,-,Rat,body weight,2020
5,EFSA,EFSA PPR,Point of Departure,NOAEL,-,reproduction,=,25,mg/kg-day,reproduction,-,Rat,body weight,2020
5,EFSA,EFSA PPR,Point of Departure,NOAEL,-,reproduction,=,90,mg/kg-day,reproduction,-,Rat,development,2020
